1217617551.880  50.2075 -114.8603 509.98 F F F   0.0   0.0 F F 
1003429767 WALA  BHZ CN --  49.0586 -113.9115  1.40 0.00 P        1217617615.260 T 4 P       
1003426347 BSMT  EHZ MB --  47.8513 -114.7870  1.95 0.00 P        1217617611.290 T 2 P       
1003429774 BSMT  EHZ MB --  47.8513 -114.7870  1.95 0.00          1217617641.170 T 4         
1003426348 YBMT  EHZ MB --  47.8633 -114.0115  1.42 0.00 P        1217617612.190 T 2 P       
1003429778 YBMT  EHZ MB --  47.8633 -114.0115  1.42 0.00          1217617641.460 T 4         
1003426346 NEW   BHZ US --  48.2633 -117.1200  0.76 0.00 P        1217617611.520 T 2 P       
1003429824 NEW   BHZ US --  48.2633 -117.1200  0.76 0.00          1217617642.720 T 4         
1003426353 JTMT  EHZ MB --  47.7467 -114.2825  1.47 0.00 P        1217617613.340 T 2 P       
1003429828 JTMT  EHZ MB --  47.7467 -114.2825  1.47 0.00          1217617645.940 T 4         
1003426354 SWMT  EHZ MB --  47.5093 -113.9988  1.30 0.00 P        1217617616.270 T 2 P       
1003429835 SWMT  EHZ MB --  47.5093 -113.9988  1.30 0.00          1217617654.620 T 4         
1003426363 SLMT  EHZ MB --  47.2418 -113.4935  1.70 0.00 P        1217617621.420 T 2 P       
1003426394 EDM   BHZ CN --  53.2217 -113.3500  0.73 0.00 P        1217617622.600 T 2 P       
1003426426 MSO   BHZ US --  46.8292 -113.9406  1.26 0.00 P        1217617626.500 T 2 P       
1003426497 MSO   BHZ US --  46.8292 -113.9406  1.26 0.00 S        1217617677.980 T 2 P       
1003426367 CHMT  EHZ MB --  46.9143 -113.2520  2.08 0.00 P        1217617626.320 T 2 P       
1003429846 CHMT  EHZ MB --  46.9143 -113.2520  2.08 0.00          1217617670.830 T 4         
1003426392 OD2   EHZ UW --  47.3875 -118.7108  0.55 0.00 P        1217617630.900 T 2 P       
1003429849 OD2   EHZ UW --  47.3875 -118.7108  0.55 0.00 S        1217617688.080 T 4 S       
1003426381 EGMT  BHZ US --  48.0240 -109.7547  1.05 0.00 P        1217617634.500 T 2 P       
1003426387 HRY   EHZ MB --  46.7113 -111.8312  1.34 0.00 P        1217617635.430 T 2 P       
1003426459 ETW   EHZ UW --  47.6042 -120.3335  1.48 0.00 sPn      1217617709.570 T 2 P       
1003426391 LRM   EHZ MB --  45.8222 -112.4510  2.33 0.00 P        1217617643.010 T 2 P       
1003426397 LNO   EHZ UW --  45.8717 -118.2862  0.77 0.00 P        1217617647.150 T 2 P       
1003426475 JCW   EHZ UW --  48.1953 -121.9275  0.79 0.00 sPn      1217617720.350 T 2 P       
1003426473 BMO   BHZ US --  44.8525 -117.3060  1.15 0.00 P        1217617656.520 T 2 P       
